	2 Class F1	2 Class Macro F1 for text with 1 distinct sentiments	2 Class Macro F1 for text with 2 distinct sentiments	2 Class Macro F1 for text with 3 distinct sentiments	3 Class Macro F1	3 Class Macro F1 for text with 1 distinct sentiments	3 Class Macro F1 for text with 2 distinct sentiments	3 Class Macro F1 for text with 3 distinct sentiments	Accuracy	Accuracy for text with 1 distinct sentiments	Accuracy for text with 2 distinct sentiments	Accuracy for text with 3 distinct sentiments	Macro Recall	Macro Recall for text with 1 distinct sentiments	Macro Recall for text with 2 distinct sentiments	Macro Recall for text with 3 distinct sentiments	Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1.1	dataset
0	71.8	75.1	51.4	58.3	63.7	67.2	47.4	38.9	70.8	75.3	47.9	44.4	65.7	68.5	53.3	44.4	0.0	0.0	0.0	0.0	0.0	SemEval 14 Laptop
1	73.8	75.6	63.9	25.0	57.7	60.5	48.6	16.7	74.6	79.9	54.2	33.3	57.3	58.8	54.7	33.3	1.0	1.0	1.0	0.0		SemEval 14 Restaurant
2	61.9	61.9	0.0	0.0	65.7	65.7	0.0	0.0	67.8	67.8	0.0	0.0	65.1	65.1	0.0	0.0	2.0	2.0	0.0			Dong Twitter
3	41.0	45.4	38.9	34.3	45.9	50.3	43.0	40.9	56.6	61.5	53.1	48.7	46.4	49.7	43.8	46.3	3.0	0.0				Election Twitter
4	42.3	44.2	16.7	0.0	55.6	57.0	31.1	0.0	72.5	73.6	44.4	0.0	52.3	53.3	36.1	0.0	0.0					YouTuBean
0	22.5	22.4	20.5	0.0	42.9	43.1	34.8	0.0	72.8	74.5	49.2	0.0	42.2	42.4	38.1	0.0						Mitchel
