	2 Class F1	2 Class Macro F1 for text with 1 distinct sentiments	2 Class Macro F1 for text with 2 distinct sentiments	2 Class Macro F1 for text with 3 distinct sentiments	3 Class Macro F1	3 Class Macro F1 for text with 1 distinct sentiments	3 Class Macro F1 for text with 2 distinct sentiments	3 Class Macro F1 for text with 3 distinct sentiments	Accuracy	Accuracy for text with 1 distinct sentiments	Accuracy for text with 2 distinct sentiments	Accuracy for text with 3 distinct sentiments	Macro Recall	Macro Recall for text with 1 distinct sentiments	Macro Recall for text with 2 distinct sentiments	Macro Recall for text with 3 distinct sentiments	Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1.1	dataset
0	70.1	72.6	53.6	54.2	59.8	61.6	48.4	52.8	68.5	72.1	48.9	55.6	62.3	63.4	55.8	55.6	0.0	0.0	0.0	0.0	0.0	SemEval 14 Laptop
1	32.0	33.3	22.5	0.0	49.4	50.6	37.0	0.0	74.0	75.5	50.8	0.0	47.1	47.9	39.8	0.0	1.0	1.0	1.0	0.0		Mitchel
2	73.2	74.7	64.2	33.3	61.2	60.4	57.3	55.6	75.7	79.8	59.6	66.7	58.6	57.5	59.0	66.7	2.0	2.0	0.0			SemEval 14 Restaurant
3	66.9	69.2	33.3	0.0	73.8	75.6	42.2	0.0	82.1	83.1	55.6	0.0	68.9	70.6	47.2	0.0	3.0	0.0				YouTuBean
4	61.1	61.1	0.0	0.0	65.9	65.9	0.0	0.0	68.8	68.8	0.0	0.0	64.6	64.6	0.0	0.0	0.0					Dong Twitter
0	39.0	41.0	37.1	38.4	44.9	47.3	42.5	44.8	57.8	61.6	54.8	53.3	46.3	47.7	44.3	50.4						Election Twitter
